step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
1,1770505963.356629,D1,0.621699859,0.499900859,0.006665345,D2,0.000002644
1,1770505963.356629,D2,0.621946451,0.500099141,0.006667989,D2,0.000002644
2,1770505963.373004,D1,0.622047769,0.499771753,0.013240097,D2,0.000008695
2,1770505963.373004,D2,0.622615951,0.500228247,0.013248792,D2,0.000008695
3,1770505963.389224,D1,0.622784558,0.499884018,0.019728683,D2,0.000011672
3,1770505963.389224,D2,0.623073551,0.500115982,0.019740355,D2,0.000011672
4,1770505963.405393,D1,0.623348177,0.499922445,0.026131266,D2,0.000013585
4,1770505963.405393,D2,0.623541583,0.500077555,0.026144851,D2,0.000013585
5,1770505963.423145,D1,0.624083277,0.499983305,0.032449293,D2,0.000013849
5,1770505963.423145,D2,0.624124955,0.500016695,0.032463142,D2,0.000013849
6,1770505963.439436,D1,0.624621289,0.499925822,0.038682314,D2,0.000015642
6,1770505963.439436,D2,0.624806648,0.500074178,0.038697956,D2,0.000015642
7,1770505963.455297,D1,0.624832162,0.499826874,0.044830908,D2,0.000020050
7,1770505963.455297,D2,0.625265012,0.500173126,0.044850958,D2,0.000020050
8,1770505963.471343,D1,0.625272518,0.499817781,0.050897399,D2,0.000024642
8,1770505963.471343,D2,0.625728429,0.500182219,0.050922041,D2,0.000024642
9,1770505963.487390,D1,0.625903751,0.500021826,0.056885725,D2,0.000023731
9,1770505963.487390,D2,0.625849109,0.499978174,0.056909456,D2,0.000023731
10,1770505963.503412,D1,0.626539440,0.500085697,0.062795058,D2,0.000021130
10,1770505963.503412,D2,0.626324706,0.499914303,0.062816188,D2,0.000021130
11,1770505963.519440,D1,0.627092677,0.500114996,0.068625991,D2,0.000017781
11,1770505963.519440,D2,0.626804291,0.499885004,0.068643772,D2,0.000017781
12,1770505963.537382,D1,0.627648845,0.500055902,0.074378389,D2,0.000016054
12,1770505963.537382,D2,0.627508513,0.499944098,0.074394443,D2,0.000016054
13,1770505963.553300,D1,0.628340840,0.500127119,0.080055039,D2,0.000012450
13,1770505963.553300,D2,0.628021425,0.499872881,0.080067489,D2,0.000012450
14,1770505963.569504,D1,0.628694019,0.500006827,0.085654396,D2,0.000012102
14,1770505963.569504,D2,0.628676851,0.499993173,0.085666498,D2,0.000012102
15,1770505963.585562,D1,0.629155715,0.499912087,0.091177832,D2,0.000014285
15,1770505963.585562,D2,0.629376997,0.500087913,0.091192117,D2,0.000014285
16,1770505963.601743,D1,0.629968645,0.500023268,0.096629105,D2,0.000013474
16,1770505963.601743,D2,0.629910014,0.499976732,0.096642578,D2,0.000013474
17,1770505963.617836,D1,0.630648998,0.500111896,0.102008875,D2,0.000010310
17,1770505963.617836,D2,0.630366793,0.499888104,0.102019185,D2,0.000010310
18,1770505963.633844,D1,0.631139959,0.500094832,0.107316688,D2,0.000007644
18,1770505963.633844,D2,0.630900594,0.499905168,0.107324332,D2,0.000007644
19,1770505963.649976,D1,0.631487225,0.500047804,0.112553103,D2,0.000006267
19,1770505963.649976,D2,0.631366488,0.499952196,0.112559370,D2,0.000006267
20,1770505963.666122,D1,0.631840011,0.500004089,0.117719116,D2,0.000006075
20,1770505963.666122,D2,0.631829677,0.499995911,0.117725191,D2,0.000006075
21,1770505963.684131,D1,0.632470989,0.500072311,0.122817159,D2,0.000004065
21,1770505963.684131,D2,0.632288077,0.499927689,0.122821224,D2,0.000004065
22,1770505963.700207,D1,0.633402015,0.500305440,0.127850336,D1,0.000004134
22,1770505963.700207,D2,0.632628622,0.499694560,0.127846202,D1,0.000004134
23,1770505963.717691,D1,0.633970271,0.500388469,0.132817511,D1,0.000014438
23,1770505963.717691,D2,0.632985924,0.499611531,0.132803073,D1,0.000014438
24,1770505963.733639,D1,0.634701365,0.500442778,0.137719181,D1,0.000026053
24,1770505963.733639,D2,0.633578232,0.499557222,0.137693128,D1,0.000026053
25,1770505963.749532,D1,0.635079489,0.500260885,0.142553070,D1,0.000032663
25,1770505963.749532,D2,0.634417102,0.499739115,0.142520408,D1,0.000032663
26,1770505963.765464,D1,0.635663553,0.500270895,0.147322641,D1,0.000039451
26,1770505963.765464,D2,0.634975132,0.499729105,0.147283190,D1,0.000039451
27,1770505963.781435,D1,0.636245311,0.500340228,0.152029543,D1,0.000047998
27,1770505963.781435,D2,0.635380026,0.499659772,0.151981545,D1,0.000047998
28,1770505963.797430,D1,0.636895225,0.500456391,0.156675234,D1,0.000059528
28,1770505963.797430,D2,0.635733592,0.499543609,0.156615706,D1,0.000059528
29,1770505963.813442,D1,0.637421076,0.500376098,0.161257912,D1,0.000068764
29,1770505963.813442,D2,0.636462865,0.499623902,0.161189148,D1,0.000068764
30,1770505963.829365,D1,0.638135377,0.500426330,0.165780158,D1,0.000079216
30,1770505963.829365,D2,0.637048080,0.499573670,0.165700942,D1,0.000079216
31,1770505963.847198,D1,0.638656462,0.500448209,0.170242398,D1,0.000090112
31,1770505963.847198,D2,0.637512482,0.499551791,0.170152287,D1,0.000090112
32,1770505963.863242,D1,0.639316986,0.500473054,0.174645474,D1,0.000101525
32,1770505963.863242,D2,0.638108404,0.499526946,0.174543949,D1,0.000101525
33,1770505963.879394,D1,0.639750397,0.500404162,0.178988923,D1,0.000110949
33,1770505963.879394,D2,0.638716981,0.499595838,0.178877974,D1,0.000110949
34,1770505963.895540,D1,0.640440628,0.500498962,0.183275723,D1,0.000122775
34,1770505963.895540,D2,0.639163681,0.499501038,0.183152948,D1,0.000122775
35,1770505963.911558,D1,0.640973078,0.500365737,0.187503590,D1,0.000130891
35,1770505963.911558,D2,0.640036052,0.499634263,0.187372699,D1,0.000130891
36,1770505963.927561,D1,0.641447067,0.500300419,0.191674215,D1,0.000137157
36,1770505963.927561,D2,0.640676718,0.499699581,0.191537057,D1,0.000137157
37,1770505963.943552,D1,0.642083016,0.500270551,0.195788832,D1,0.000142543
37,1770505963.943552,D2,0.641388526,0.499729449,0.195646289,D1,0.000142543
38,1770505963.959502,D1,0.642668824,0.500348589,0.199849629,D1,0.000149938
38,1770505963.959502,D2,0.641773338,0.499651411,0.199699691,D1,0.000149938
39,1770505963.975559,D1,0.642979030,0.500275913,0.203855313,D1,0.000155297
39,1770505963.975559,D2,0.642269796,0.499724087,0.203700016,D1,0.000155297
40,1770505963.991791,D1,0.643730800,0.500278943,0.207807628,D1,0.000160665
40,1770505963.991791,D2,0.643012944,0.499721057,0.207646963,D1,0.000160665
41,1770505964.009652,D1,0.644066940,0.500278588,0.211707241,D1,0.000165951
41,1770505964.009652,D2,0.643349623,0.499721412,0.211541289,D1,0.000165951
42,1770505964.026359,D1,0.644675172,0.500295904,0.215555090,D1,0.000171629
42,1770505964.026359,D2,0.643912576,0.499704096,0.215383460,D1,0.000171629
