step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
1,1768595153.608813,D1,0.621787020,0.500005712,0.006666743,D1,0.000000152
1,1768595153.608813,D2,0.621772813,0.499994288,0.006666591,D1,0.000000152
2,1768595153.637599,D1,0.622217263,0.499918740,0.013243436,D2,0.000002017
2,1768595153.637599,D2,0.622419542,0.500081260,0.013245453,D2,0.000002017
3,1768595153.666729,D1,0.622677675,0.499933219,0.019732633,D2,0.000003771
3,1768595153.666729,D2,0.622844030,0.500066781,0.019736404,D2,0.000003771
4,1768595153.695943,D1,0.623108867,0.499877673,0.026134567,D2,0.000006982
4,1768595153.695943,D2,0.623413834,0.500122327,0.026141549,D2,0.000006982
5,1768595153.736599,D1,0.623585339,0.499953515,0.032452153,D2,0.000008129
5,1768595153.736599,D2,0.623701298,0.500046485,0.032460282,D2,0.000008129
6,1768595153.764495,D1,0.624115481,0.499908477,0.038684904,D2,0.000010461
6,1768595153.764495,D2,0.624344007,0.500091523,0.038695365,D2,0.000010461
7,1768595153.792022,D1,0.624754748,0.499963135,0.044835280,D2,0.000011305
7,1768595153.792022,D2,0.624846880,0.500036865,0.044846585,D2,0.000011305
8,1768595153.819660,D1,0.625153960,0.499932865,0.050903248,D2,0.000012944
8,1768595153.819660,D2,0.625321863,0.500067135,0.050916192,D2,0.000012944
9,1768595153.850970,D1,0.625793268,0.499933134,0.056890313,D2,0.000014555
9,1768595153.850970,D2,0.625960668,0.500066866,0.056904868,D2,0.000014555
10,1768595153.879828,D1,0.626529529,0.499978236,0.062798152,D2,0.000014941
10,1768595153.879828,D2,0.626584074,0.500021764,0.062813093,D2,0.000014941
11,1768595153.909816,D1,0.627099150,0.499918840,0.068626428,D2,0.000016906
11,1768595153.909816,D2,0.627302765,0.500081160,0.068643334,D2,0.000016906
12,1768595153.938753,D1,0.627736278,0.500000625,0.074378084,D2,0.000016664
12,1768595153.938753,D2,0.627734710,0.499999375,0.074394748,D2,0.000016664
13,1768595153.967141,D1,0.628232276,0.499946014,0.080052323,D2,0.000017881
13,1768595153.967141,D2,0.628367953,0.500053986,0.080070205,D2,0.000017881
14,1768595153.996320,D1,0.628742133,0.499971152,0.085651241,D2,0.000018412
14,1768595153.996320,D2,0.628814690,0.500028848,0.085669653,D2,0.000018412
15,1768595154.025446,D1,0.629259176,0.499907696,0.091174660,D2,0.000020628
15,1768595154.025446,D2,0.629491552,0.500092304,0.091195289,D2,0.000020628
16,1768595154.055119,D1,0.629948112,0.499981176,0.096625414,D2,0.000020855
16,1768595154.055119,D2,0.629995545,0.500018824,0.096646269,D2,0.000020855
17,1768595154.084610,D1,0.630459402,0.499909934,0.102002541,D2,0.000022979
17,1768595154.084610,D2,0.630686575,0.500090066,0.102025520,D2,0.000022979
18,1768595154.113446,D1,0.631099307,0.499991711,0.107309063,D2,0.000022894
18,1768595154.113446,D2,0.631120233,0.500008289,0.107331957,D2,0.000022894
19,1768595154.143019,D1,0.631474201,0.499859748,0.112543072,D2,0.000026328
19,1768595154.143019,D2,0.631828562,0.500140252,0.112569401,D2,0.000026328
20,1768595154.170480,D1,0.631978353,0.499794097,0.117706419,D2,0.000031468
20,1768595154.170480,D2,0.632499072,0.500205903,0.117737887,D2,0.000031468
21,1768595154.199780,D1,0.632533718,0.499776373,0.122800685,D2,0.000037012
21,1768595154.199780,D2,0.633099778,0.500223627,0.122837697,D2,0.000037012
22,1768595154.228384,D1,0.633243211,0.499887848,0.127828514,D2,0.000039509
22,1768595154.228384,D2,0.633527353,0.500112152,0.127868023,D2,0.000039509
23,1768595154.256741,D1,0.633727031,0.499830408,0.132788539,D2,0.000043505
23,1768595154.256741,D2,0.634157076,0.500169592,0.132832044,D2,0.000043505
24,1768595154.285259,D1,0.634080148,0.499676382,0.137680377,D2,0.000051554
24,1768595154.285259,D2,0.634901479,0.500323618,0.137731932,D2,0.000051554
25,1768595154.315494,D1,0.634638056,0.499609499,0.142506099,D2,0.000061280
25,1768595154.315494,D2,0.635630137,0.500390501,0.142567379,D2,0.000061280
26,1768595154.344749,D1,0.635096715,0.499537515,0.147266518,D2,0.000072796
26,1768595154.344749,D2,0.636272693,0.500462485,0.147339314,D2,0.000072796
27,1768595154.373704,D1,0.635491159,0.499540851,0.151963509,D2,0.000084070
27,1768595154.373704,D2,0.636659372,0.500459149,0.152047579,D2,0.000084070
28,1768595154.402057,D1,0.636246230,0.499570584,0.156598270,D2,0.000094400
28,1768595154.402057,D2,0.637340026,0.500429416,0.156692670,D2,0.000094400
29,1768595154.430495,D1,0.636620037,0.499518553,0.161170540,D2,0.000105980
29,1768595154.430495,D2,0.637847214,0.500481447,0.161276520,D2,0.000105980
30,1768595154.461477,D1,0.637162350,0.499530194,0.165682002,D2,0.000117095
30,1768595154.461477,D2,0.638360846,0.500469806,0.165799097,D2,0.000117095
31,1768595154.491030,D1,0.637720634,0.499494524,0.170132836,D2,0.000129013
31,1768595154.491030,D2,0.639011348,0.500505476,0.170261849,D2,0.000129013
32,1768595154.522678,D1,0.638220514,0.499458543,0.174523845,D2,0.000141732
32,1768595154.522678,D2,0.639604289,0.500541457,0.174665577,D2,0.000141732
33,1768595154.552325,D1,0.638906907,0.499514939,0.178857060,D2,0.000152777
33,1768595154.552325,D2,0.640147745,0.500485061,0.179009837,D2,0.000152777
34,1768595154.581924,D1,0.639665390,0.499611947,0.183133792,D2,0.000161088
34,1768595154.581924,D2,0.640659057,0.500388053,0.183294880,D2,0.000161088
35,1768595154.612549,D1,0.640111813,0.499592732,0.187353244,D2,0.000169801
35,1768595154.612549,D2,0.641155450,0.500407268,0.187523045,D2,0.000169801
36,1768595154.646331,D1,0.640735164,0.499588178,0.191516377,D2,0.000178518
36,1768595154.646331,D2,0.641791509,0.500411822,0.191694895,D2,0.000178518
37,1768595154.683449,D1,0.641360733,0.499616851,0.195624383,D2,0.000186355
37,1768595154.683449,D2,0.642344434,0.500383149,0.195810739,D2,0.000186355
38,1768595154.720406,D1,0.641950636,0.499598484,0.199677371,D2,0.000194578
38,1768595154.720406,D2,0.642982478,0.500401516,0.199871949,D2,0.000194578
39,1768595154.751354,D1,0.642498707,0.499633194,0.203676782,D2,0.000201765
39,1768595154.751354,D2,0.643442089,0.500366806,0.203878547,D2,0.000201765
40,1768595154.783185,D1,0.643015946,0.499585449,0.207622231,D2,0.000210129
40,1768595154.783185,D2,0.644083083,0.500414551,0.207832360,D2,0.000210129
41,1768595154.812369,D1,0.643450166,0.499540359,0.211514473,D2,0.000219585
41,1768595154.812369,D2,0.644634278,0.500459641,0.211734058,D2,0.000219585
42,1768595154.842247,D1,0.643984659,0.499655085,0.215356348,D2,0.000225855
42,1768595154.842247,D2,0.644873751,0.500344915,0.215582202,D2,0.000225855
43,1768595154.871591,D1,0.644668479,0.499728153,0.219147972,D2,0.000230093
43,1768595154.871591,D2,0.645369865,0.500271847,0.219378064,D2,0.000230093
44,1768595154.900529,D1,0.645102993,0.499683198,0.222888441,D2,0.000235473
44,1768595154.900529,D2,0.645920992,0.500316802,0.223123914,D2,0.000235473
45,1768595154.929418,D1,0.645723832,0.499730847,0.226579673,D2,0.000239511
45,1768595154.929418,D2,0.646419399,0.500269153,0.226819184,D2,0.000239511
46,1768595154.958116,D1,0.646361317,0.499782650,0.230222380,D2,0.000242113
46,1768595154.958116,D2,0.646923508,0.500217350,0.230464493,D2,0.000242113
47,1768595154.988153,D1,0.646730989,0.499760301,0.233816219,D2,0.000245277
47,1768595154.988153,D2,0.647351369,0.500239699,0.234061496,D2,0.000245277
48,1768595155.019408,D1,0.647133309,0.499729585,0.237361730,D2,0.000249218
48,1768595155.019408,D2,0.647833667,0.500270415,0.237610948,D2,0.000249218
49,1768595155.049619,D1,0.647831228,0.499825954,0.240861253,D2,0.000250536
49,1768595155.049619,D2,0.648282394,0.500174046,0.241111789,D2,0.000250536
50,1768595155.080763,D1,0.648602942,0.499877504,0.244314803,D2,0.000250462
50,1768595155.080763,D2,0.648920825,0.500122496,0.244565265,D2,0.000250462
