t=3.51s
ASSEMBLY ID                                                    ACT         FR
--------------------------------------------------------------------------------
a1:INTERNEURONS:0                                           0.8425     6.4997
a1:INTERNEURONS:1                                           0.8424     6.4993
a1:INTERNEURONS:10                                          0.8429     6.5029
a1:INTERNEURONS:11                                          0.8424     6.4988
a1:INTERNEURONS:12                                          0.8424     6.4994
a1:INTERNEURONS:13                                          0.8425     6.4999
a1:INTERNEURONS:14                                          0.8427     6.5017
a1:INTERNEURONS:15                                          0.8425     6.4997
a1:INTERNEURONS:16                                          0.8422     6.4979
a1:INTERNEURONS:17                                          0.8426     6.5009
a1:INTERNEURONS:18                                          0.8427     6.5015
a1:INTERNEURONS:19                                          0.8426     6.5006
a1:INTERNEURONS:2                                           0.8424     6.4993
a1:INTERNEURONS:20                                          0.8422     6.4979
a1:INTERNEURONS:21                                          0.8426     6.5012
a1:INTERNEURONS:22                                          0.8425     6.4999
a1:INTERNEURONS:23                                          0.8425     6.5000
a1:INTERNEURONS:24                                          0.8423     6.4985
a1:INTERNEURONS:25                                          0.8423     6.4987
a1:INTERNEURONS:26                                          0.8423     6.4986
a1:INTERNEURONS:27                                          0.8429     6.5033
a1:INTERNEURONS:28                                          0.8426     6.5011
a1:INTERNEURONS:29                                          0.8425     6.5000
a1:INTERNEURONS:3                                           0.8425     6.5002
a1:INTERNEURONS:30                                          0.8421     6.4971
a1:INTERNEURONS:31                                          0.8424     6.4995
a1:INTERNEURONS:32                                          0.8428     6.5026
a1:INTERNEURONS:33                                          0.8425     6.4998
a1:INTERNEURONS:34                                          0.8427     6.5016
a1:INTERNEURONS:35                                          0.8426     6.5008
a1:INTERNEURONS:36                                          0.8425     6.5003
a1:INTERNEURONS:37                                          0.8423     6.4987
a1:INTERNEURONS:38                                          0.8426     6.5007
a1:INTERNEURONS:39                                          0.8426     6.5012
a1:INTERNEURONS:4                                           0.8423     6.4985
a1:INTERNEURONS:40                                          0.8427     6.5014
a1:INTERNEURONS:41                                          0.8425     6.5002
a1:INTERNEURONS:42                                          0.8427     6.5014
a1:INTERNEURONS:43                                          0.8423     6.4987
a1:INTERNEURONS:44                                          0.8421     6.4969
a1:INTERNEURONS:45                                          0.8422     6.4979
a1:INTERNEURONS:46                                          0.8429     6.5032
a1:INTERNEURONS:47                                          0.8423     6.4982
a1:INTERNEURONS:48                                          0.8428     6.5024
a1:INTERNEURONS:49                                          0.8425     6.4997
a1:INTERNEURONS:5                                           0.8422     6.4978
a1:INTERNEURONS:50                                          0.8422     6.4978
a1:INTERNEURONS:51                                          0.8426     6.5008
a1:INTERNEURONS:52                                          0.8422     6.4978
a1:INTERNEURONS:53                                          0.8426     6.5007
a1:INTERNEURONS:54                                          0.8424     6.4990
a1:INTERNEURONS:55                                          0.8422     6.4976
a1:INTERNEURONS:56                                          0.8422     6.4979
a1:INTERNEURONS:57                                          0.8428     6.5028
a1:INTERNEURONS:58                                          0.8425     6.5003
a1:INTERNEURONS:59                                          0.8427     6.5016
a1:INTERNEURONS:6                                           0.8424     6.4989
a1:INTERNEURONS:60                                          0.8425     6.5003
a1:INTERNEURONS:61                                          0.8427     6.5013
a1:INTERNEURONS:62                                          0.8426     6.5007
a1:INTERNEURONS:63                                          0.8423     6.4980
a1:INTERNEURONS:64                                          0.8425     6.5003
a1:INTERNEURONS:65                                          0.8424     6.4989
a1:INTERNEURONS:66                                          0.8424     6.4996
a1:INTERNEURONS:67                                          0.8427     6.5016
a1:INTERNEURONS:68                                          0.8426     6.5012
a1:INTERNEURONS:69                                          0.8424     6.4992
a1:INTERNEURONS:7                                           0.8424     6.4992
a1:INTERNEURONS:70                                          0.8427     6.5015
a1:INTERNEURONS:71                                          0.8427     6.5019
a1:INTERNEURONS:72                                          0.8425     6.4999
a1:INTERNEURONS:73                                          0.8426     6.5006
a1:INTERNEURONS:74                                          0.8425     6.4999
a1:INTERNEURONS:75                                          0.8426     6.5007
a1:INTERNEURONS:8                                           0.8424     6.4988
a1:INTERNEURONS:9                                           0.8423     6.4983
a1:L2_3_PYRAMIDAL:0                                         0.1050     0.6004
