step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
1,1770762887.342433,D1,0.453928947,0.421964656,0.005626195,D2,0.002080943
1,1770762887.342433,D2,0.621822162,0.578035344,0.007707138,D2,0.002080943
2,1770762887.392688,D1,0.454261249,0.421816306,0.011175397,D2,0.004138095
2,1770762887.392688,D2,0.622655983,0.578183694,0.015313492,D2,0.004138095
3,1770762887.440018,D1,0.454756986,0.421802670,0.016650427,D2,0.006168183
3,1770762887.440018,D2,0.623370343,0.578197330,0.022818610,D2,0.006168183
4,1770762887.491348,D1,0.455182497,0.421845124,0.022053023,D2,0.008170070
4,1770762887.491348,D2,0.623845020,0.578154876,0.030223093,D2,0.008170070
5,1770762887.557171,D1,0.455552269,0.421916733,0.027384539,D2,0.010143356
5,1770762887.557171,D2,0.624168524,0.578083267,0.037527896,D2,0.010143356
6,1770762887.647052,D1,0.456015822,0.421873701,0.032644395,D2,0.012091480
6,1770762887.647052,D2,0.624913900,0.578126299,0.044735874,D2,0.012091480
7,1770762887.735344,D1,0.456241579,0.421869757,0.037834066,D2,0.014013733
7,1770762887.735344,D2,0.625233381,0.578130243,0.051847799,D2,0.014013733
8,1770762887.820676,D1,0.456546143,0.421737093,0.042952773,D2,0.015913894
8,1770762887.820676,D2,0.625991177,0.578262907,0.058866667,D2,0.015913894
9,1770762887.893062,D1,0.456696185,0.421632257,0.048001833,D2,0.017791515
9,1770762887.893062,D2,0.626466161,0.578367743,0.065793348,D2,0.017791515
10,1770762887.946296,D1,0.457123938,0.421605885,0.052983220,D2,0.019644805
10,1770762887.946296,D2,0.627120742,0.578394115,0.072628025,D2,0.019644805
11,1770762887.988173,D1,0.457346946,0.421521055,0.057897058,D2,0.021475646
11,1770762887.988173,D2,0.627644990,0.578478945,0.079372704,D2,0.021475646
12,1770762888.042457,D1,0.457840262,0.421576368,0.062746116,D2,0.023280601
12,1770762888.042457,D2,0.628179490,0.578423632,0.086026717,D2,0.023280601
13,1770762888.106298,D1,0.458274974,0.421596448,0.067530787,D2,0.025060954
13,1770762888.106298,D2,0.628724161,0.578403552,0.092591741,D2,0.025060954
14,1770762888.164782,D1,0.458567232,0.421599826,0.072251707,D2,0.026817480
14,1770762888.164782,D2,0.629116404,0.578400174,0.099069187,D2,0.026817480
15,1770762888.204960,D1,0.458874544,0.421527900,0.076908723,D2,0.028552502
15,1770762888.204960,D2,0.629723728,0.578472100,0.105461226,D2,0.028552502
16,1770762888.244981,D1,0.459156984,0.421369310,0.081501531,D2,0.030268621
16,1770762888.244981,D2,0.630521294,0.578630690,0.111770152,D2,0.030268621
17,1770762888.284458,D1,0.459508315,0.421356268,0.086032928,D2,0.031962205
17,1770762888.284458,D2,0.631037500,0.578643732,0.117995133,D2,0.031962205
18,1770762888.324309,D1,0.459737249,0.421269298,0.090502746,D2,0.033635528
18,1770762888.324309,D2,0.631577144,0.578730702,0.124138274,D2,0.033635528
19,1770762888.364842,D1,0.460146888,0.421137186,0.094911205,D2,0.035290063
19,1770762888.364842,D2,0.632482552,0.578862814,0.130201268,D2,0.035290063
20,1770762888.405820,D1,0.460458941,0.421086758,0.099260212,D2,0.036923882
20,1770762888.405820,D2,0.633042416,0.578913242,0.136184094,D2,0.036923882
21,1770762888.462816,D1,0.460758438,0.421022586,0.103550377,D2,0.038537628
21,1770762888.462816,D2,0.633620946,0.578977414,0.142088005,D2,0.038537628
22,1770762888.524076,D1,0.460979796,0.420961192,0.107782522,D2,0.040131494
22,1770762888.524076,D2,0.634085034,0.579038808,0.147914016,D2,0.040131494
23,1770762888.582632,D1,0.461415594,0.421002598,0.111958789,D2,0.041703005
23,1770762888.582632,D2,0.634576680,0.578997402,0.153661794,D2,0.041703005
24,1770762888.623860,D1,0.461827288,0.421015073,0.116079540,D2,0.043253230
24,1770762888.623860,D2,0.635110369,0.578984927,0.159332769,D2,0.043253230
25,1770762888.664994,D1,0.462299794,0.421032379,0.120145578,D2,0.044782323
25,1770762888.664994,D2,0.635715032,0.578967621,0.164927901,D2,0.044782323
26,1770762888.706303,D1,0.462714873,0.421026675,0.124157326,D2,0.046291181
26,1770762888.706303,D2,0.636300700,0.578973325,0.170448506,D2,0.046291181
27,1770762888.751742,D1,0.462970201,0.420923124,0.128114203,D2,0.047782682
27,1770762888.751742,D2,0.636922333,0.579076876,0.175896885,D2,0.047782682
28,1770762888.797224,D1,0.463428405,0.420995377,0.132019285,D2,0.049252369
28,1770762888.797224,D2,0.637363742,0.579004623,0.181271654,D2,0.049252369
29,1770762888.850862,D1,0.463924671,0.421072014,0.135873322,D2,0.050700417
29,1770762888.850862,D2,0.637845706,0.578927986,0.186573739,D2,0.050700417
30,1770762888.906671,D1,0.464411895,0.421085724,0.139676154,D2,0.052128792
30,1770762888.906671,D2,0.638479673,0.578914276,0.191804946,D2,0.052128792
31,1770762888.993981,D1,0.464623770,0.421056703,0.143427894,D2,0.053538896
31,1770762888.993981,D2,0.638847013,0.578943297,0.196966791,D2,0.053538896
32,1770762889.047709,D1,0.465009189,0.420907781,0.147127626,D2,0.054934170
32,1770762889.047709,D2,0.639767701,0.579092219,0.202061796,D2,0.054934170
33,1770762889.091182,D1,0.465404844,0.420859235,0.150777381,D2,0.056312135
33,1770762889.091182,D2,0.640439593,0.579140765,0.207089516,D2,0.056312135
34,1770762889.133111,D1,0.465908590,0.420929627,0.154379411,D2,0.057669850
34,1770762889.133111,D2,0.640947662,0.579070373,0.212049261,D2,0.057669850
35,1770762889.174557,D1,0.466151859,0.420957996,0.157933792,D2,0.059008705
35,1770762889.174557,D2,0.641207697,0.579042004,0.216942497,D2,0.059008705
36,1770762889.215605,D1,0.466637693,0.420897989,0.161439981,D2,0.060331310
