--------------------------------------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------------------------------------
t=0.11s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    13.5649     0.6065
gpi             GPi_OUTPUT                   25    20.7702     0.7596
snc             DOPAMINERGIC_NEURONS         20     0.1833     0.0151
stn             EXCITATORY_NEURONS           25     0.2226     0.0150
striatum        D1_MSN                       50     0.4575     0.0151
striatum        D2_MSN                       50     0.6274     0.0150
striatum        INTERNEURONS                 50     0.6274     0.0150
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0151
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0126     0.0151
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0915     0.0150
raphe           SEROTONERGIC_NEURONS         10     0.0913     0.0151
vta             DOPAMINERGIC_NEURONS         20     0.1830     0.0151
vta             GABA_INTERNEURONS            20     0.2509     0.0150
cerebellar_cortex GRANULE_CELLS               300     2.7431     0.0151
cerebellar_cortex PURKINJE_CELLS              300     3.7646     0.0150
cerebellar_cortex INTERNEURONS                300     3.7671     0.0151
deep_nuclei     OUTPUT_NEURONS               50     0.4573     0.0151
a1              L4_EXCITATORY               200     1.8297     0.0151
a1              L2_3_PYRAMIDAL              200     2.5076     0.0150
a1              L6_PYRAMIDAL                200     2.5110     0.0151
a1              INTERNEURONS                200     2.5089     0.0150
insula          L2_3_PYRAMIDAL              200     1.8288     0.0150
insula          L5_PYRAMIDAL                200     2.5089     0.0150
insula          INTERNEURONS                200     2.5115     0.0151
m1              L2_3_PYRAMIDAL              200     1.8292     0.0151
m1              L5_PYRAMIDAL                200     2.5085     0.0150
m1              INTERNEURONS                200     2.5102     0.0151
s1              L4_EXCITATORY               200     1.8285     0.0151
s1              L2_3_PYRAMIDAL              200     2.5100     0.0151
s1              L5_PYRAMIDAL                200     2.5100     0.0151
s1              L6_PYRAMIDAL                200     2.5105     0.0151
s1              INTERNEURONS                200     2.5080     0.0150
v1              L4_EXCITATORY               200     1.8293     0.0151
v1              L2_3_PYRAMIDAL              200     2.5115     0.0151
v1              L5_PYRAMIDAL                200     2.5100     0.0151
v1              L6_PYRAMIDAL                200     2.5113     0.0151
v1              INTERNEURONS                200     2.5101     0.0151
ca1             PYRAMIDAL_CELLS             100     0.9145     0.0151
ca1             INTERNEURONS                100     1.2542     0.0150
ca3             PYRAMIDAL_CELLS             150     1.3707     0.0150
ca3             INTERNEURONS                150     1.8829     0.0151
dentate_gyrus   GRANULE_CELLS               150     1.3717     0.0151
dentate_gyrus   INTERNEURONS                150     1.8822     0.0150
subiculum       PYRAMIDAL_CELLS             100     0.9149     0.0151
association_cortex L2_3_PYRAMIDAL              200     1.8291     0.0151
association_cortex L5_PYRAMIDAL_A              200     2.5088     0.0150
association_cortex L5_PYRAMIDAL_B              200     2.5095     0.0150
association_cortex INTERNEURONS                200     2.5090     0.0150
Intralaminar    RELAY_NEURONS                50     0.6269     0.0150
pfc             L2_3_PYRAMIDAL              200     1.8298     0.0151
pfc             L5_POLICY_A                 200     2.5088     0.0150
pfc             L5_POLICY_B                 200     2.5084     0.0150
pfc             L5_PYRAMIDAL_B              200     2.5079     0.0150
pfc             L6_PYRAMIDAL                200     2.5087     0.0150
pfc             INTERNEURONS                200     2.5096     0.0150
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0400     0.0150
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0626     0.0150
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0627     0.0150
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0628     0.0151
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0151
anterior_pituitary THYROTROPES                   1     0.0126     0.0151
anterior_pituitary GONADOTROPES                  1     0.0125     0.0150
