
LIVE RUNTIME
Keyboard + TCP input enabled (port 5557)
Ctrl+C to quit | type 'help' for commands
--------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------
t=1.00s | state=awake
ASSEMBLY ID                                                    ACT         FR
--------------------------------------------------------------------------------
Intralaminar:RELAY_NEURONS:0                                0.0149     0.0122
a1:INTERNEURONS:0                                           0.0154     0.0135
a1:L2_3_PYRAMIDAL:0                                         0.0154     0.0135
a1:L2_3_PYRAMIDAL:1                                         0.0155     0.0138
a1:L4_EXCITATORY:0                                          0.0153     0.0132
a1:L4_EXCITATORY:1                                          0.0155     0.0136
a1:L6_PYRAMIDAL:0                                           0.0154     0.0135
association_cortex:INTERNEURONS:GLOBAL_NORMALIZATION_UNITS:0     0.0176     0.0190
association_cortex:INTERNEURONS:LOCAL_COMPETITION_UNITS:0     0.0177     0.0192
association_cortex:INTERNEURONS:TEMPORAL_GATING_UNITS:0     0.0178     0.0193
association_cortex:L2_3_PYRAMIDAL:ABSTRACTION_UNITS:0       0.0177     0.0191
association_cortex:L2_3_PYRAMIDAL:FEATURE_BINDING_UNITS:0     0.0178     0.0193
association_cortex:L2_3_PYRAMIDAL:TRANSIENT_REPRESENTATION_UNITS:0     0.0177     0.0190
association_cortex:L5_PYRAMIDAL:COMPETITIVE_SELECTION_UNITS:0     0.0176     0.0189
association_cortex:L5_PYRAMIDAL:STABLE_PATTERN_UNITS:0      0.0178     0.0194
bla:PYRAMIDAL_CELLS:0                                       0.0151     0.0126
ca1:PYRAMIDAL_CELLS:0                                       0.0154     0.0134
ca3:PYRAMIDAL_CELLS:0                                       0.0157     0.0141
cerebellar_cortex:GRANULE_CELLS:0                           0.0150     0.0124
cerebellar_cortex:GRANULE_CELLS:1                           0.0148     0.0118
cerebellar_cortex:GRANULE_CELLS:2                           0.0149     0.0121
cerebellar_cortex:GRANULE_CELLS:3                           0.0150     0.0123
cerebellar_cortex:INTERNEURONS:0                            0.0149     0.0121
corpus_callosum:CALLOSAL_FIBERS:0                           0.0148     0.0119
corpus_callosum:CALLOSAL_FIBERS:1                           0.0149     0.0123
dentate_gyrus:GRANULE_CELLS:0                               0.0148     0.0120
dentate_gyrus:GRANULE_CELLS:1                               0.0150     0.0124
gpe:OUTPUT_NEURONS:COMPETITOR_SUPPRESSORS:0                 0.0136     0.0090
gpe:OUTPUT_NEURONS:EXPLORATORY_MODULATORS:0                 0.0139     0.0097
gpi:OUTPUT_NEURONS:SELECTIVE_RELEASE_UNITS:0                0.0145     0.0111
gpi:OUTPUT_NEURONS:TONIC_SUPPRESSORS:0                      0.0142     0.0104
inferior_colliculus:CENTRAL_NUCLEUS:0                       0.0150     0.0125
inferior_colliculus:EXTERNAL_CORTEX:0                       0.0148     0.0119
insula:INTERNEURONS:0                                       0.0147     0.0116
insula:L2_3_PYRAMIDAL:0                                     0.0149     0.0122
insula:L5_PYRAMIDAL:0                                       0.0149     0.0121
lgn:RELAY_CELLS:0                                           0.0157     0.0143
m1:INTERNEURONS:0                                           0.0149     0.0121
m1:L2_3_PYRAMIDAL:0                                         0.0147     0.0116
m1:L5_PYRAMIDAL:0                                           0.0147     0.0118
md:RELAY_CELLS:ATTENTIONAL_AMPLIFIERS:0                     0.0197     0.0385
md:RELAY_CELLS:FLEXIBILITY_GATES:0                          0.0196     0.0406
md:RELAY_CELLS:NOISE_FILTERS:0                              0.0195     0.0236
md:RELAY_CELLS:PERSISTENCE_GATES:0                          0.0239     0.0345
mgb:RELAY_CELLS:0                                           0.0164     0.0158
pfc:INTERNEURONS:ADAPTIVE_INHIBITORS:0                      0.0220     0.0298
pfc:INTERNEURONS:FAST_SPIKING:0                             0.0220     0.0298
pfc:INTERNEURONS:GLOBAL_DAMPENERS:0                         0.0220     0.0298
pfc:L2_3_PYRAMIDAL:ASSOCIATIVE_INTEGRATORS:0                0.0221     0.0300
pfc:L2_3_PYRAMIDAL:CONTEXT_MAINTAINERS:0                    0.0221     0.0301
pfc:L2_3_PYRAMIDAL:DISTRACTOR_SUPPRESSORS:0                 0.0220     0.0298
pfc:L5_PYRAMIDAL:ACTION_PLANNERS:0                          0.0222     0.0302
pfc:L5_PYRAMIDAL:COMPETING_POLICY_ENCODERS:0                0.0222     0.0301
pfc:L5_PYRAMIDAL:INHIBITORY_CONTROL_DRIVERS:0               0.0222     0.0302
pfc:L6_PYRAMIDAL:STATE_MONITORS:0                           0.0220     0.0298
pfc:L6_PYRAMIDAL:THALAMIC_GATES:0                           0.0221     0.0512
pons:MIXED_NEURONS:0                                        0.0149     0.0121
pulvinar:RELAY_CELLS:CROSS_MODAL_ALIGNMENT_UNITS:0          0.0171     0.0042
pulvinar:RELAY_CELLS:SALIENCE_RELAY_UNITS:0                 0.0170     0.0035
pulvinar:RELAY_CELLS:VISUAL_COORDINATION_UNITS:0            0.0168     0.0054
s1:INTERNEURONS:0                                           0.0159     0.0146
s1:L2_3_PYRAMIDAL:0                                         0.0160     0.0148
s1:L2_3_PYRAMIDAL:1                                         0.0158     0.0144
s1:L4_EXCITATORY:0                                          0.0159     0.0146
s1:L4_EXCITATORY:1                                          0.0159     0.0147
s1:L5_PYRAMIDAL:0                                           0.0159     0.0146
s1:L6_PYRAMIDAL:0                                           0.0160     0.0149
stn:EXCITATORY_NEURONS:GLOBAL_INTERRUPT_UNITS:0             0.0141     0.0103
stn:EXCITATORY_NEURONS:PRECISION_TIMING_UNITS:0             0.0141     0.0101
striatum:D1_MSN:0                                           0.0189     0.0222
striatum:D2_MSN:0                                           0.0189     0.0222
subiculum:PYRAMIDAL_CELLS:0                                 0.0155     0.0136
superior_colliculus:DEEP_MOTOR:0                            0.0148     0.0119
superior_colliculus:INTERNEURONS:0                          0.0150     0.0123
superior_colliculus:SUPERFICIAL_VISUAL:0                    0.0147     0.0118
trn:GABAERGIC_NEURONS:FOCUSED_GATE_UNITS:0                  0.0151     0.0041
trn:GABAERGIC_NEURONS:GLOBAL_SUPPRESSION_UNITS:0            0.0152     0.0052
trn:GABAERGIC_NEURONS:RHYTHMIC_PACING_UNITS:0               0.0153     0.0031
v1:INTERNEURONS:0                                           0.0162     0.0155
v1:L2_3_PYRAMIDAL:0                                         0.0161     0.0152
v1:L2_3_PYRAMIDAL:1                                         0.0161     0.0153
v1:L4_EXCITATORY:0                                          0.0162     0.0154
v1:L4_EXCITATORY:1                                          0.0162     0.0153
v1:L5_PYRAMIDAL:0                                           0.0162     0.0155
v1:L6_PYRAMIDAL:0                                           0.0162     0.0154
vpl:RELAY_CELLS:0                                           0.0146     0.0113
vpm:RELAY_CELLS:0                                           0.0146     0.0116
--------------------------------------------------------------------------------
last: Ready.
> 
--------------------------------------------------------------------------------
t=2.00s | state=awake
ASSEMBLY ID                                                    ACT         FR
--------------------------------------------------------------------------------
Intralaminar:RELAY_NEURONS:0                                0.0146     0.0115
a1:INTERNEURONS:0                                           0.0157     0.0141
a1:L2_3_PYRAMIDAL:0                                         0.0156     0.0138
a1:L2_3_PYRAMIDAL:1                                         0.0159     0.0146
a1:L4_EXCITATORY:0                                          0.0155     0.0137
a1:L4_EXCITATORY:1                                          0.0156     0.0139
a1:L6_PYRAMIDAL:0                                           0.0155     0.0137
association_cortex:INTERNEURONS:GLOBAL_NORMALIZATION_UNITS:0     0.0190     0.0222
association_cortex:INTERNEURONS:LOCAL_COMPETITION_UNITS:0     0.0190     0.0223
association_cortex:INTERNEURONS:TEMPORAL_GATING_UNITS:0     0.0192     0.0228
association_cortex:L2_3_PYRAMIDAL:ABSTRACTION_UNITS:0       0.0191     0.0227
association_cortex:L2_3_PYRAMIDAL:FEATURE_BINDING_UNITS:0     0.0191     0.0226
association_cortex:L2_3_PYRAMIDAL:TRANSIENT_REPRESENTATION_UNITS:0     0.0191     0.0226
association_cortex:L5_PYRAMIDAL:COMPETITIVE_SELECTION_UNITS:0     0.0191     0.0225
association_cortex:L5_PYRAMIDAL:STABLE_PATTERN_UNITS:0      0.0193     0.0231
bla:PYRAMIDAL_CELLS:0                                       0.0151     0.0127
ca1:PYRAMIDAL_CELLS:0                                       0.0155     0.0136
ca3:PYRAMIDAL_CELLS:0                                       0.0160     0.0150
cerebellar_cortex:GRANULE_CELLS:0                           0.0148     0.0120
cerebellar_cortex:GRANULE_CELLS:1                           0.0146     0.0114
cerebellar_cortex:GRANULE_CELLS:2                           0.0148     0.0120
cerebellar_cortex:GRANULE_CELLS:3                           0.0149     0.0122
cerebellar_cortex:INTERNEURONS:0                            0.0148     0.0118
corpus_callosum:CALLOSAL_FIBERS:0                           0.0147     0.0117
corpus_callosum:CALLOSAL_FIBERS:1                           0.0148     0.0120
dentate_gyrus:GRANULE_CELLS:0                               0.0147     0.0117
dentate_gyrus:GRANULE_CELLS:1                               0.0148     0.0118
gpe:OUTPUT_NEURONS:COMPETITOR_SUPPRESSORS:0                 0.0125     0.0063
gpe:OUTPUT_NEURONS:EXPLORATORY_MODULATORS:0                 0.0130     0.0074
gpi:OUTPUT_NEURONS:SELECTIVE_RELEASE_UNITS:0                0.0138     0.0094
gpi:OUTPUT_NEURONS:TONIC_SUPPRESSORS:0                      0.0133     0.0083
inferior_colliculus:CENTRAL_NUCLEUS:0                       0.0149     0.0122
inferior_colliculus:EXTERNAL_CORTEX:0                       0.0146     0.0114
insula:INTERNEURONS:0                                       0.0146     0.0113
insula:L2_3_PYRAMIDAL:0                                     0.0147     0.0118
insula:L5_PYRAMIDAL:0                                       0.0148     0.0119
lgn:RELAY_CELLS:0                                           0.0160     0.0149
m1:INTERNEURONS:0                                           0.0147     0.0117
m1:L2_3_PYRAMIDAL:0                                         0.0146     0.0115
m1:L5_PYRAMIDAL:0                                           0.0145     0.0113
md:RELAY_CELLS:ATTENTIONAL_AMPLIFIERS:0                     0.0245     0.0576
md:RELAY_CELLS:FLEXIBILITY_GATES:0                          0.0245     0.0609
md:RELAY_CELLS:NOISE_FILTERS:0                              0.0242     0.0351
md:RELAY_CELLS:PERSISTENCE_GATES:0                          0.0329     0.0565
mgb:RELAY_CELLS:0                                           0.0169     0.0172
pfc:INTERNEURONS:ADAPTIVE_INHIBITORS:0                      0.0279     0.0442
pfc:INTERNEURONS:FAST_SPIKING:0                             0.0277     0.0438
pfc:INTERNEURONS:GLOBAL_DAMPENERS:0                         0.0277     0.0438
pfc:L2_3_PYRAMIDAL:ASSOCIATIVE_INTEGRATORS:0                0.0279     0.0444
pfc:L2_3_PYRAMIDAL:CONTEXT_MAINTAINERS:0                    0.0279     0.0442
pfc:L2_3_PYRAMIDAL:DISTRACTOR_SUPPRESSORS:0                 0.0277     0.0437
pfc:L5_PYRAMIDAL:ACTION_PLANNERS:0                          0.0279     0.0442
pfc:L5_PYRAMIDAL:COMPETING_POLICY_ENCODERS:0                0.0279     0.0442
pfc:L5_PYRAMIDAL:INHIBITORY_CONTROL_DRIVERS:0               0.0279     0.0443
pfc:L6_PYRAMIDAL:STATE_MONITORS:0                           0.0278     0.0440
pfc:L6_PYRAMIDAL:THALAMIC_GATES:0                           0.0279     0.0753
pons:MIXED_NEURONS:0                                        0.0147     0.0118
pulvinar:RELAY_CELLS:CROSS_MODAL_ALIGNMENT_UNITS:0          0.0181     0.0048
pulvinar:RELAY_CELLS:SALIENCE_RELAY_UNITS:0                 0.0179     0.0039
pulvinar:RELAY_CELLS:VISUAL_COORDINATION_UNITS:0            0.0178     0.0062
s1:INTERNEURONS:0                                           0.0163     0.0156
s1:L2_3_PYRAMIDAL:0                                         0.0164     0.0159
s1:L2_3_PYRAMIDAL:1                                         0.0162     0.0153
s1:L4_EXCITATORY:0                                          0.0164     0.0159
s1:L4_EXCITATORY:1                                          0.0164     0.0158
s1:L5_PYRAMIDAL:0                                           0.0163     0.0157
s1:L6_PYRAMIDAL:0                                           0.0165     0.0160
stn:EXCITATORY_NEURONS:GLOBAL_INTERRUPT_UNITS:0             0.0137     0.0091
stn:EXCITATORY_NEURONS:PRECISION_TIMING_UNITS:0             0.0136     0.0090
striatum:D1_MSN:0                                           0.0223     0.0305
striatum:D2_MSN:0                                           0.0225     0.0310
subiculum:PYRAMIDAL_CELLS:0                                 0.0157     0.0141
superior_colliculus:DEEP_MOTOR:0                            0.0148     0.0118
superior_colliculus:INTERNEURONS:0                          0.0148     0.0120
superior_colliculus:SUPERFICIAL_VISUAL:0                    0.0146     0.0114
trn:GABAERGIC_NEURONS:FOCUSED_GATE_UNITS:0                  0.0153     0.0042
trn:GABAERGIC_NEURONS:GLOBAL_SUPPRESSION_UNITS:0            0.0151     0.0051
trn:GABAERGIC_NEURONS:RHYTHMIC_PACING_UNITS:0               0.0155     0.0033
v1:INTERNEURONS:0                                           0.0169     0.0172
v1:L2_3_PYRAMIDAL:0                                         0.0170     0.0173
v1:L2_3_PYRAMIDAL:1                                         0.0168     0.0169
v1:L4_EXCITATORY:0                                          0.0169     0.0171
v1:L4_EXCITATORY:1                                          0.0169     0.0171
v1:L5_PYRAMIDAL:0                                           0.0171     0.0176
v1:L6_PYRAMIDAL:0                                           0.0170     0.0173
vpl:RELAY_CELLS:0                                           0.0142     0.0105
vpm:RELAY_CELLS:0                                           0.0143     0.0107
--------------------------------------------------------------------------------
last: Ready.
> 
--------------------------------------------------------------------------------
t=3.01s | state=awake
ASSEMBLY ID                                                    ACT         FR
--------------------------------------------------------------------------------
Intralaminar:RELAY_NEURONS:0                                0.0146     0.0113
a1:INTERNEURONS:0                                           0.0156     0.0138
a1:L2_3_PYRAMIDAL:0                                         0.0154     0.0133
a1:L2_3_PYRAMIDAL:1                                         0.0157     0.0141
a1:L4_EXCITATORY:0                                          0.0153     0.0132
a1:L4_EXCITATORY:1                                          0.0155     0.0137
a1:L6_PYRAMIDAL:0                                           0.0153     0.0131
association_cortex:INTERNEURONS:GLOBAL_NORMALIZATION_UNITS:0     0.0189     0.0221
association_cortex:INTERNEURONS:LOCAL_COMPETITION_UNITS:0     0.0191     0.0226
association_cortex:INTERNEURONS:TEMPORAL_GATING_UNITS:0     0.0191     0.0227
association_cortex:L2_3_PYRAMIDAL:ABSTRACTION_UNITS:0       0.0192     0.0227
association_cortex:L2_3_PYRAMIDAL:FEATURE_BINDING_UNITS:0     0.0191     0.0225
association_cortex:L2_3_PYRAMIDAL:TRANSIENT_REPRESENTATION_UNITS:0     0.0191     0.0226
association_cortex:L5_PYRAMIDAL:COMPETITIVE_SELECTION_UNITS:0     0.0191     0.0226
association_cortex:L5_PYRAMIDAL:STABLE_PATTERN_UNITS:0      0.0194     0.0232
bla:PYRAMIDAL_CELLS:0                                       0.0149     0.0122
ca1:PYRAMIDAL_CELLS:0                                       0.0154     0.0135
ca3:PYRAMIDAL_CELLS:0                                       0.0160     0.0148
cerebellar_cortex:GRANULE_CELLS:0                           0.0147     0.0117
cerebellar_cortex:GRANULE_CELLS:1                           0.0145     0.0111
cerebellar_cortex:GRANULE_CELLS:2                           0.0146     0.0115
cerebellar_cortex:GRANULE_CELLS:3                           0.0148     0.0118
cerebellar_cortex:INTERNEURONS:0                            0.0147     0.0116
corpus_callosum:CALLOSAL_FIBERS:0                           0.0146     0.0113
corpus_callosum:CALLOSAL_FIBERS:1                           0.0148     0.0120
dentate_gyrus:GRANULE_CELLS:0                               0.0146     0.0115
dentate_gyrus:GRANULE_CELLS:1                               0.0146     0.0113
gpe:OUTPUT_NEURONS:COMPETITOR_SUPPRESSORS:0                 0.0123     0.0057
gpe:OUTPUT_NEURONS:EXPLORATORY_MODULATORS:0                 0.0128     0.0071
gpi:OUTPUT_NEURONS:SELECTIVE_RELEASE_UNITS:0                0.0134     0.0086
gpi:OUTPUT_NEURONS:TONIC_SUPPRESSORS:0                      0.0128     0.0070
inferior_colliculus:CENTRAL_NUCLEUS:0                       0.0148     0.0120
inferior_colliculus:EXTERNAL_CORTEX:0                       0.0144     0.0110
insula:INTERNEURONS:0                                       0.0144     0.0110
insula:L2_3_PYRAMIDAL:0                                     0.0146     0.0116
insula:L5_PYRAMIDAL:0                                       0.0146     0.0115
lgn:RELAY_CELLS:0                                           0.0158     0.0144
m1:INTERNEURONS:0                                           0.0147     0.0117
m1:L2_3_PYRAMIDAL:0                                         0.0144     0.0110
m1:L5_PYRAMIDAL:0                                           0.0144     0.0109
md:RELAY_CELLS:ATTENTIONAL_AMPLIFIERS:0                     0.0252     0.0602
md:RELAY_CELLS:FLEXIBILITY_GATES:0                          0.0253     0.0645
